Title|Link|Image|Description
IRC<->Discord Relay|https://github.com/Minetest-j45/discord-irc_relay|https://j1233.minetest.land/images/portfolio/irc-discord.png|A customisable chat relay that relays between an IRC channel and a Discord channel.
Jewelraid|https://github.com/Minetest-j45/jewelraid|https://j1233.minetest.land/images/portfolio/jewelraid.png|A Minetest mod that adds a game where each team has to steal jewels from the other team to not loose.
JMute|https://github.com/Minetest-j45/j_mute|https://j1233.minetest.land/images/portfolio/mute.png|A Minetest mod that adds the ability to temporarily/permanently mute players.
Time Stone| https://github.com/Minetest-j45/time_stone|https://j1233.minetest.land/images/portfolio/timestone.png|A Minetest Mod that adds stones that can change the time.
Teleport Carrot|https://github.com/Minetest-j45/teleport_carrot|https://j1233.minetest.land/images/portfolio/telecarrot.png| A Minetest mod that adds an item that has a chance of teleporting you somewhere nearby.
Protective Shell|https://github.com/Minetest-j45/protective_shell|https://j1233.minetest.land/images/portfolio/prot.png|A Dragonfire client CSM that makes a barrier around you.
Keystrokes|https://github.com/Minetest-j45/keystrokes||A Minetest CSM that adds the ability to see which keys/buttons are being pressed.
Sumo Duels|https://github.com/Minetest-j45/sumo_duels||A Minetest mod that implements the sumo duels minigame.
Serverlist CLI|https://github.com/Minetest-j45/serverlist_CLI||A CLI for Minetest's serverlist.
Barrier Redo|https://github.com/Minetest-j45/barrier_redo|https://github.com/Minetest-j45/barrier_redo/blob/master/screenshot.png|A fork of the Minetest barrier mod with an extra feature.
Tag|https://github.com/Minetest-j45/tag||A Minetest mod that adds the ability to play tag.
Biome Detector|https://github.com/Minetest-j45/biome_detector||A minetest mod that allows you to get the name of the biome you are in.
